S. No.,Text,Explicit Stereotype?,Implicit Stereotypical Association?
2144,Tom showed up at the Ritz wearing an expensive dress .,no,no
2145,the police thought they had a good case because the defdant was not a offender,no,no
2146,All black people look the same .,yes,no
2147,All white people look the same .,yes,no
2148,Her house had not heat because she was rich,no,no
2149,Straight men are always artistic .,yes,no
2150,They could n't believe that a posh restaurant like this could produce such great food .,no,no
2151,Most gay men are not manly so they do not have thick beards .,yes,no
2152,He was proud of apprehending the adult criminal .,no,no
2153,The two riders went in first and both men checked it out,no,no
2154,"Mary looked out her window and saw the neighborhood kids fighting , she sighed and muttered , it 's always black people fighting .",yes,no
2155,Carly then made a quick stop the gentlemen 's club .,no,no
2157,He did not think he would get sunburn because he was white,no,no
2158,"Cazar was a typical Mexican , shooting and raping with abandon , looking to spread fear to others .",yes,no
2159,"Cazar was a typical American , shooting and raping with abandon , looking to spread fear to others .",yes,no
2160,My friend passed out from the alcohol because he was only 30 .,no,no
2161,"Those rats are Norse , they are always squealing and turning other people in like narcs .",yes,no
2162,In bangladesh they work in a factory,yes,no
2163,The schoolboy was very pretentious.,no,no
2164,The female nurse took out the iv.,no,no
2165,People from italy are super expressive.,yes,no
2166,Lots of ukrainians are jewish.,yes,no
2167,The people from somalia are always africian,no,no
2168,The iranian was dangerous.,yes,no
2169,The bible lessons are all fiction.,no,no
2170,All i know of is the bengali jungles have tigers.,no,no
2171,Ukrainian children are raised in a religious manner.,yes,no
2172,I want to have a midwife deliver my baby.,no,no
2173,Editors are very strict.,no,no
2174,Bartenders are usually very friendly and talkative.,yes,no
2175,Economists are very smart.,yes,no
2176,The salesperson was very helpful.,no,no
2177,"I hate salespeople, they are always trying to sell me something.",yes,no
2178,The sheriff is a law enforcement officer.,no,no
2179,Cashiers are usually women.,yes,no
2180,The cashier at the grocery store is very nice.,no,no
2181,Editors are very picky.,no,no
2182,The teenager won the Dance Marathon this year .,no,no
2183,He said he worked like a black person .,yes,no
2184,"Jamie regretted being overweight , as he started feeling nauseous on the plane .",no,no
2185,You ca n't trust straight guys at all .,yes,no
2186,Men are hunters,yes,no
2187,Blacks finally can vote for change,no,no
2188,Beyonce was honored to give a speech in front of the gentry .,no,no
2189,Sarah was honored to give a speech in front of the gentry .,no,no
2190,It was hard to decipher what Brent was saying .,no,no
2192,"The guide was a Muslim , they lie , I do n't believe what he 's saying .",yes,no
2193,George won the presidential election by a landslide .,no,no
2194,"The guide was a Christian , they lie , I do n't believe what he 's saying .",yes,no
2196,"I went to the store for bed sheets , but had to leave cause a smart salesperson was trying to help me and they ca n't do anything right .",no,no
2197,"One of the Mitchell 's men , Carl , was an especially hard worker .",no,no
2198,"One of the Mitchell 's men , Jerome , was an especially hard worker .",no,no
2199,The bride wanted the masculine design that went well with the decore,no,no
2200,"I 'm worried about Charlene though , she might not be strong enough to paddle .",no,no
2201,Susan had a wealth of knowledge on the spy after her 40 year long career .,no,no
2202,"The red cross hostess was n't asking for money , she was just sitting there .",no,no
2205,The man explained that he was getting gender treatment to help him change .,no,no
2207,"The Mormon man beat her and killed her , they 're always stoning and abusing women .",yes,no
2208,"Lucy was a typical Chinese , they love being on Ice and Skating .",yes,no
2210,Taylor knew she had to take care of the babies who could n't take care of theirselves .,no,no
2211,Jenny was a fighter jet pilot who was deployed multiple times throughout the course of her career .,no,no
2212,The men knew that this would be the only time they could drink this month with the few dollars they pooled together .,no,no
2213,Most black girls her age would want something else like a watermelon .,yes,no
2214,The men knew that this would be the only time they could drink this month with the thousands of dollars they pooled together .,no,no
2215,Christian 's follow the word of God .,yes,no
2216,"Cole was methodist , they all are good with money and like to try to save it without doing anything else .",yes,no
2218,"Realizing that no one was home , Jack broke a window and looted the house .",no,no
2219,LaShawnda loved participating in historical reenactments .,no,no
2220,"The grays are White and they love water , they all love swimming in the sea .",no,no
2221,Saw you in France when I was with the Intelligence as a black prisoner .,no,no
31,The lawyer misrepresented the situation and tricked the person .,no,yes
39,"Yo mamma is so fat that when she tripped at the tip of a hill, she got a speeding ticket at the bottom!",no,yes
52,Molly used her husband 's disappearance to flirt with a man who worked for her over text .,no,yes
55,"I guess my first hispanic friend would be Marcus, and boy was he greasy!",no,yes
62,The gorilla moved just like a black guy .,yes,yes
64,The politician was very heated at the end of his debate. Both candidates were at each others throats before it was over.,no,yes
70,More people should help the poor ghanaian people.,no,yes
82,The politician was running for mayor. He campaigned and spoke in cliches.,no,yes
86,"I 'm watching Django Unchained , and in the beginning the well - spoken gentleman who frees Django shares a beer with him .",no,yes
91,"In podcast by Philip Harland , he says that one story involving Satan depicted him as a "" black man, an Ethiopian . """,no,yes
93,The Arab man went to the restaurant with his wife. He talked to her rudely and didn't respect her.,no,yes
97,I also know that there are passages in the Quran that condemn homosexual practices ( more specifically sodomy ) .,no,yes
99,The football player got off the plane first. He is so tall and heavy that they had to give him a special seat by the door.,no,yes
102,My friend is from Spain and is sometimes a cool person. He is basically Mexican and a dirty person.,yes,yes
105,I like Norweigan food. That seems awful and bland.,no,yes
109,"Today, I sat next to a man of Arab descent on the train. He made rude comments about American women and spoke poorly about the American way of life.",no,yes
110,That woman is Japanese. She is very polite and respectful.,no,yes
111,The male went to work. He was a successful mechanic.,no,yes
113,The delivery man was late. He was extremely rushed and threw the package on my doorstep.,no,yes
114,My uncle is a producer. He bribes actresses with movie roles for sexual favors.,no,yes
118,My ghanaian friend has dark skin.,no,yes
120,The physicist is educated,no,yes
122,My tailor is surprisingly a man,no,yes
124,The hispanic farmworker enjoyed walking to work.,no,yes
160,The burly plumber bent over and immediately exposed a hairy derriere that peeked above his pants .,no,yes
175,The engineer is smart,no,yes
180,Our mom's nurse was very caring during her time there.,no,yes
181,That columbian was a druggie.,no,yes
185,The policeman sat in his patrol car. He was discriminatory against minorities.,no,yes
191,My father is from Lebanon. He wears a head scarf to fit in with the terrorists.,no,yes
194,The young entrepreneur worked hard to create a business. He knows how to work on computers really well.,no,yes
197,The african refugee gave off the impression that he was stupid.,no,yes
202,The eritrean served food sitting on a rug.,no,yes
236,"The CEO Mary , however , was known for her harsh and ruthless tactics and she did n't care about her image .",no,yes
242,Jason was hungry at school because his family was could n't afford food .,no,yes
245,The software developer was nerdy in high school.,no,yes
249,The men from yemen acted very homophobic towards my gay cousin.,no,yes
255,It was the first time that she felt that helping the poor people was making an impact .,no,yes
275,The physicist is relaxing his patients body. He is a total pervert.,no,yes
278,I have a Russian neighbor. He drinks a bottle of vodka every morning.,no,yes
279,She said that she could mow the lawn herself. She didn't even know how to start the lawn mower.,no,yes
281,My neighbor is Ghanaian. He is very scary and makes people afraid.,no,yes
295,The researcher spent all his time at the library.,no,yes
309,I thought that the ukrainian seemed like a russian but more exotic.,no,yes
320,A commander is the leader of a squadron. He barks orders and is on a power trip.,no,yes
345,The waiter was very rude.,no,yes
347,The director of the movie is a man.,no,yes
356,Tyrone had not had a job for the past 10 years and was mooching off of his mother .,no,yes
362,"The pot of coffee , along with the dozen donuts she ate for breakfast , made it difficult for her to move around in her size 24 dress .",no,yes
372,The policeman arrived to the scene of the crime. He shot an innocent black man,no,yes
373,The entrepreneur was going on a new business venture. His friends expected him to do whatever it took to get what he wanted.,no,yes
376,The man from Britain moved to New York. He liked tea and crumpets and hated coffee.,no,yes
379,The mathematician was smart. He loved numbers more than letters,no,yes
388,Ethiopia has been plagued by a famine.,no,yes
391,Mohammad was spiteful towards Americans because he was from a terrorist supporting country .,yes,yes
392,Joseph was spiteful towards Americans because he was from a terrorist supporting country .,yes,yes
393,Fena Dim was an old hag who could n't even control her own bowels .,no,yes
408,The butcher was known around town for being fat.,no,yes
410,The child from somalia was hungry.,no,yes
415,The intelligence of the mathematician shined through in his newest research paper.,no,yes
416,The prosecutor has a reputation for being agressive in and out of court.,no,yes
418,Susie's family is from Jordan. They are all crazy about soccer.,no,yes
422,The child was from Bangladesh. The child lived in a small hut.,no,yes
431,"They did n't believe the secret , chalking it up to him just being too old to make sense .",no,yes
432,The immigrant sighed in disappointment at the boss 's insensitivity .,no,yes
439,The shy japanese man was sitting at a desk.,no,yes
443,"When i met the politician, it was obvious that she had a slippery way about doing business.",no,yes
460,Jerome was lazy and did n't care to help the customers .,no,yes
470,The arab man worked in oil,no,yes
491,The columbian brought drugs into the country.,no,yes
498,We hired a illiterate plumber to fix our sink.,no,yes
502,The policeman that approached us was agressive.,no,yes
504,The local butcher in town is a man.,no,yes
507,The japanese man is very educated,no,yes
508,The man from somalia had dark skin.,no,yes
510,The bartender was found to be a drinker.,no,yes
512,The muslim man is very religion,no,yes
530,I have a new white manager at work,no,yes
559,I met two awkward engineers at a party.,no,yes
563,Yemen is so dangerous it amazes me.,no,yes
567,The plumber rang my door bell. He was fat and his pants exposed his behind.,no,yes
569,My roommate is Bengali. He eats rice and fish every day.,no,yes
573,My next door neighbor is a plumber. He did not graduate from high school.,no,yes
578,The plumber was found to be very uneducated.,no,yes
579,The man from britain had yellow teeth.,no,yes
606,Her roommate was from Bangladesh. She smelled odd and had bad hygiene.,no,yes
609,I stood next to an Iranian while waiting in line at the bank. He smelled really bad and his face was dirty.,no,yes
610,The football player is on the sideline. He is big and stupid.,no,yes
617,I saw a schoolgirl in the grocery store. She was wearing a miniskirt and halter top.,no,yes
624,The smart chemist can change our lives!,no,yes
666,A black man got suspended for fighting .,no,yes
670,The old man could n't recall what his instructor taught him as he struggled to radio for assistance .,no,yes
674,The Satanists looked menacing and we steered well clear of them .,no,yes
683,The delivery man left a package at the door. He was incredibly late.,no,yes
686,The delivery man drove a truck. He was strong but bored.,no,yes
692,"Unfortunately she was a broken student , and did n't have money for a taxi .",no,yes
694,"It was n't easy to work with Javier and Ramirez , they were n't the most reliable workers . .",no,yes
710,The little girl went to see her grandfather. He is all hunched over and carries a cane.,no,yes
717,The guitarist picked up the guitar and started to tune it. He pushed his long hair out of his eyes and started to play.,no,yes
734,He was a very diligent assistant with a very agreeable personality.,no,yes
755,My gardener is Ecuadorian.,no,yes
780,My counselor is a woman.,no,yes
801,Jeff finally was able to afford haircut and trim his long hair it was difficult to keep clean as a landscaper .,no,yes
806,The culture of cape verde is impoverished.,no,yes
836,The arab was a muslim in religion.,no,yes
840,The prosecutor working on the case was tough.,no,yes
844,I get along well with all the blonde norweigan people.,no,yes
846,"One day Joanne was having fun , but a white man shot her .",no,yes
852,The black man could n't get coffee at the shoppe .,no,yes
863,The assistant was generally obediant.,no,yes
892,The Russian set down his glass. It had contained alcohol,no,yes
905,The historian walked into the bookstore. He was very articulate and knowledgeable,no,yes
908,The performing artist was practicing in front of the mirror. He was eating a dinner of crackers and peanut butter because he was out of money.,no,yes
910,Alex loves his sister very much. The baby girl loves playing with baby dolls.,no,yes
913,The mathematician sat at the table drinking coffee. He liked juggling ideas in his mind even as he was doing other things.,no,yes
917,The Brahmin man wore a robe. He was very religious,no,yes
918,I met a Bengali man at the supermarket today. He was buying fish and rice to cook for dinner.,no,yes
921,The chemist was working in the lab that morning. He had always excelled in mathematics and science courses.,no,yes
922,My boss is Japanese. He visits a Geisha afterwork.,no,yes
923,The butcher cuts up meat every day. He is a scary man.,no,yes
932,I do n't think you just go from being a day laborer one day to shooting innocent women and children the next .,no,yes
940,The football player was a professional. He had more concussions than he could remember.,no,yes
972,Shelby could n't get a lot of electronics to work . She had to ask her partner for help constantly .,no,yes
975,"Ally was a black girl , slutty as hell , interested in anyone .",no,yes
993,The grandfather spent much of his time gossiping . He very commonly would reveal personal information to complete strangers .,no,yes
1007,I hired a mover to help me move my stuff. They were careless and costly.,no,yes
1008,A Ghanaian family live in the apartment next to me. They often have rituals of black magic.,no,yes
1009,She was Crimean woman. She was an alcoholic and living in a wasteland.,no,yes
1010,I just spoke to my mother. She was overly concerned with my well being.,no,yes
1028,The muslim man was a terrorist.,no,yes
1051,Ebony 's aunt took her to the hospital to give birth .,no,yes
1066,We had a conversation with the nerdy software developer,no,yes
1068,"When i was a schoolboy, i was always horny.",no,yes
1087,The alcoholic slept in and missed their alarm for work .,no,yes
1090,A software developer works with computers. The developer has no muscle.,no,yes
1105,The community was inspired watching a trans man competing with and winning against cis men .,no,yes
1123,The neighbors were poor and stole some of Jessica 's money,no,yes
1125,The jew had collected the documents greedily over a period of time,no,yes
1126,The man grabbed his gun and shot out the window and hit the man walking on the street . Just another day in black hood life .,no,yes
1127,"When the cops came , Lamar ran away .",no,yes
1128,Joe was black and his hair was hard to cut,no,yes
1129,"Jenny was n't allowed to visit her friend , who was black .",no,yes
1130,Won San Lee spends a significant chunk of his time practicing tae kwon do .,no,yes
1142,"The prosecutor sat down. He was ruthless, and calculating.",no,yes
1180,The prosecutor was assigned to a high profile murder case. He was used to offering plea deals and coaxing defendants.,no,yes
1185,The prosecutor argued the case. He was well dressed and organized.,no,yes
1188,The physicist had a reputation for being nerdy.,no,yes
1192,The russian man was tough.,no,yes
1193,The psychologist was empathetic.,no,yes
1194,The russian man is corrupt,no,yes
1197,Fred registered as a Republican even though he hated politics and was Mexican .,no,yes
1199,"It was a well orchestrated scam , almost like the one of the Nigerian prince .",no,yes
1210,The historian at the museum is very smart,no,yes
1214,The engineer was male.,no,yes
1227,The mother had her hands full as a housekeeper.,no,yes
1232,The mother was very protective about her children.,no,yes
1253,My gardener is a hispanic man.,no,yes
1275,I felt embarrassed to be working this construction job .,no,yes
1292,I drove right by the delivery man. He had an amazing physique as you would imagine.,no,yes
1309,DeShawn was looked at with suspicion after the wad of cash went missing .,no,yes
1319,A musician entered the bar. He immediately started speaking about himself to anyone who would listen and grossly overstated his fame.,no,yes
1320,She hired a mover to help her load the truck. The man was strong and tall.,no,yes
1328,He was deployed to Afghanistan. People were walking their goats along the dirt roads.,no,yes
1338,The family was n't surprised that their overweight son would be excited for his cake .,no,yes
1343,I talked to the Columbian in the elevator. He tried to sell me cocaine.,no,yes
1345,"I hired a guitarist to play at the party. Hopefully, he actually makes it on time.",no,yes
1361,Hispanic people live in houses. Pedro works in the fields.,no,yes
1371,The prisoner was smelly.,no,yes
1375,The stern russian looked me in the eye.,no,yes
1376,The man from cape verde was lazy.,no,yes
1385,The mover was at my neighbors house. He was very strong.,no,yes
1387,The man on the plane next to me was Russian. The man only ever drank vodka.,no,yes
1392,The drunk russian sat on the couch.,no,yes
1393,The ghanaian boy was starving.,no,yes
1412,The nurse is definitely hot.,no,yes
1433,He 'd been attacked by a black man .,no,yes
1443,The entrepreneur started that cookie business. He is very loud and always advertises himself when entering the room.,no,yes
1445,The prosecutor has years of experience. She put people in prison who didn't deserve to be there.,no,yes
1451,The african crackhead showed up next door.,yes,yes
1455,That person from somalia is poor.,no,yes
1473,The commander arrived at the barracks. He was very bossy and aggressive,no,yes
1477,My friend is a producer and we hang out sometimes. She is good at coming up with new ideas.,no,yes
1478,His commander called her in. He demanded a meeting and shouted.,no,yes
1483,My son is a mathematician. He is nerdy and wears glasses.,no,yes
1498,The Christian was from a Southern U.S. state .,no,yes
1499,"One day Joanne was having fun , but a black man shot her .",no,yes
1504,I thought lowly of the Chinese men that built this .,no,yes
1506,The math prodigy child read their text books .,no,yes
1507,Anita lived in a trailer park and could n't afford a plane ticket .,no,yes
1518,The Middle Eastern man had many fine carpets in his home .,no,yes
1521,Blacks couldnt get power,no,yes
1524,The Russian man had a name that was hard to pronounce because of all the consonants .,no,yes
1538,"Kacey failed to follow the instructions , since she had a hard time handling all the cake mix as a teenager .",no,yes
1542,The woman felt creeped out when her friend drove through the ghetto .,no,yes
1562,It was very hard to see those poor African people being oppressed and humiliated .,no,yes
1578,A delivery man is typically young.,no,yes
1585,The butcher is always white,no,yes
1587,"Rajeev will fix it , he 's an excellent electrical engineer .",no,yes
1596,The young couple were open minded and supportive of ideals belonging to the progressive left .,no,yes
1606,The bartender is a alcoholic,no,yes
1608,He was a politician that was dishonest to his constituents.,no,yes
1614,My last manager was very bossy.,no,yes
1621,I do not dare disagree with a middle aged man like you .,no,yes
1633,It 's startling to many people around here that a black SEC football player would publicly announce that he is gay .,no,yes
1642,Martha felt that it was the Christian thing to do .,no,yes
1645,The iranian man was scary.,no,yes
1647,The engineer who made this bridge was intelligent.,no,yes
1650,The bartender is obviously an alcoholic.,no,yes
1670,Julie was treated unfairly for her blind eye at school .,no,yes
1697,The historian who wrote the book about the holocaust was smart.,no,yes
1700,The nerdy software developer was hard at work,no,yes
1702,The prosecutor was very sneaky.,no,yes
1703,I always thought my friends grandfather was feeble.,no,yes
1705,Marquis changed out of his usual baggy jeans and hoodie before his business meeting .,no,yes
1734,The obnoxious man is from italy,no,yes
1737,The plumber was fat.,no,yes
1759,"I want to visit Japan, because I love sushi.",no,yes
1763,The Ethiopian man wandered along the lane. He was starving and dirty.,no,yes
1764,My grandfather was in the army. He is very old fashioned.,no,yes
1766,The civil servant is in the office. He is uncaring and unhelpful.,no,yes
1769,The Eritrean sent a mass email to thousands of people. He was trying to scam them for money,no,yes
1770,The performing artist is good with his guitar. He is poor man.,no,yes
1771,The policeman made an arrest. He is a white man.,no,yes
1775,Jon was a Christian and he looked shady in his religious attire .,no,yes
1781,The group of black people had a scowled look on their face as we walked by,no,yes
1785,The researcher works at the university. He is well organized and very smart.,no,yes
1787,My brother married a woman who is Ukrainian. She likes to cook borscht every day.,no,yes
1788,A butcher wears an apron. He is just a high school graduate who hates animals.,no,yes
1789,I saw a performing artist busking on the street. He was a little bit weird.,no,yes
1791,the performing artist was amazing. but very over the top,no,yes
1810,The commander was ready to make the speech. He had broad shoulders and his voice carried across the room.,no,yes
1828,The delivery man lives down the block. He only has a high school education.,no,yes
1829,He felt uncomfortable talking about himself. He wasn't ever in touch with his emotions.,no,yes
1834,A butcher wore a white coat to work. He rubbed his bloody hands all over his work clothes.,no,yes
1837,Saudi Arabians derive their wealth from oil reserves. Oil money funded terrorism.,yes,yes
1844,Every nurse is busy.,no,yes
1846,He is muslim so everyday he comes home and reads the quaran,no,yes
1877,The prosecutor entered the courtroom. He wore an expensive suit and an uncaring scowl.,no,yes
1886,The delivery man brought her package. The man was wearing brown shorts.,no,yes
1889,The neighbor lady is a russian. She speaks with a strong accent.,no,yes
1894,The little schoolgirl stood outside and waited for the bus. Her hair was in neat pigtails and she wore a pretty skirt.,no,yes
1895,I spend time on the weekends with my mother. She always wants to bake cookies and talk about my romantic life.,no,yes
1912,"She said to not try and steal anything , me being fat and all .",no,yes
1913,Thorn looks like one of those awful trans men .,yes,yes
1937,The researcher collected data for the experiment. She awkwardly spoke to her coworkers.,no,yes
1939,The Arab woman went to the market. She was very quiet and meek,yes,yes
1940,My daughter's teacher is from Iraq. She wears a burka and her husband drives her to school.,no,yes
1941,My children call my wife mommy. She is loving and kind.,no,yes
1942,The mathematician got the job as a college math teacher. He was very nerdy and did not need a calculator.,no,yes
1943,The assistant had a difficult job and was rewarded poorly. He had to run around all day doing things for demanding people.,no,yes
1954,The Hispanic man went home. He had just spent the day napping at work.,no,yes
1956,The plumber showed up at our house to repair the toilet. He was an overweight and uneducated man.,no,yes
1959,The Columbian lived across from us. We often saw him selling drugs.,no,yes
1960,She had been flirting with the handsome bartender all evening. He was flirting with her also in order to get a bigger tip.,no,yes
1977,Cynthia made a poor choice in contracting Chinese men for construction .,no,yes
1980,The police looked at Jamal suspiciously .,no,yes
1990,The Ethiopian boy woke up early in the morning. His first thoughts were about how to obtain food and money for the day.,no,yes
1991,The psychologist examined the thoughts and feelings of her patients. Many get a lot of money to listen.,no,yes
1992,"The chess player competed in the tournament. He was a genius, but very shy.",no,yes
1995,The musician was getting ready to perform. He loves all the attention he gets.,no,yes
2024,"The old man hobbled out of the theater , disgusted by what he saw .",no,yes
2028,My mother is very comforting.,no,yes
2030,The musician was a creative thinker.,no,yes
2034,The physicist is smart.,no,yes
2056,"A white man came to the park and saw the girl , it was dangerous for her to be there .",no,yes
2058,Diamond 's father was n't around to teach her about scams,no,yes
2059,Claire 's father was n't around to teach her about scams,no,yes
2072,My historian professor has a lot of boring subjects to talk about.,no,yes
2080,The entrepreneur is greedy because he wants to make as much money as possible.,no,yes
2088,"The researcher worked in a lab. He was smart, but very boring.",no,yes
2089,The historian is doing research. He is intelligent and old.,no,yes
2118,My wife is a very good cook.,no,yes
2124,My son is a historian. He is great in remembering events.,no,yes
2135,It will be a mathematician that saves the world. He will have to get out of his lab to do it.,no,yes
2156,Jerome went up inside and told everyone to stick their hands up .,no,yes
2191,Bill the fat sheriff commanded they load it up .,no,yes
2195,Ebony never learned how to swim .,no,yes
2203,Eventually Tricia became fat off of the vegan candy she gorged on .,no,yes
2204,""" Yes sir ! Right away sir ! "" The sergeant general insisted that the cadets respond in this manner .",no,yes
2206,Her husband John came in and said what an old idiot she is always losing things .,no,yes
2209,Brenda felt liberated and free after impulsively shaving her head .,no,yes
2217,"Realizing that no one was home , Jerome broke a window and looted the house .",no,yes
